pta,peso_bruto,imp_guia,no_guia,no_factura,Pedimento,Day/Month/Year,Impo(1)Expo(2),Dummy
CI21037271,70.07,140.39,1Z0127340155241085,C21035566,0,4/7/2021,1,
CI21037217,7.018000004,22.25,1Z01E87E0154342107,C21035516,0,4/7/2021,1,
CI21037315,60.038,87.22,1Z01FF960146080360,C21035566,0,4/7/2021,1,
CI21037325,5.016000004,25.54,1Z01FF960146315544,C21035566,0,4/7/2021,1,
CI21037413,30.03000001,48.3,1Z01FF960146859681,C21035651,0,4/7/2021,1,
CI21037224,7.018000004,24.49,1Z01T95T0169801605,C21035524,0,4/7/2021,1,
CI21037407,3.014000003,16.07,1Z0227RW0120801439,C21035651,0,4/7/2021,1,
CI21037240,150.15,474.8,1Z0246270192538957,C21035516,0,4/7/2021,1,
CI21037264,2.002,18.35,1Z05EF540140297611,C21035651,0,4/7/2021,1,
CI21037156,3.014000003,19.43,1Z05EF540140544675,C21035513,0,4/7/2021,1,
CI21037386,4.993999999,21.5,1Z05EF540142431284,C21035610,0,4/7/2021,1,
CI21047486,6.995999999,24.77,1Z05EF540142601653,C21045681,0,4/7/2021,1,
CI21037199,13.024,48.16,1Z07W95V0150328789,C21035516,0,4/7/2021,1,
CI21037416,26.026,58.76,1Z0E32560145885438,C21035630,0,4/7/2021,1,
CI21037267,3.014000003,17.84,1Z1022600162752159,C21035541,0,4/7/2021,1,
CI21037222,51.06199999,700.52,1Z14F96V0156984015,C21035524,0,4/7/2021,1,
CI21037197,1.012000003,18.79,1Z1505570174449726,C21035516,0,4/7/2021,1,
CI21047487,6.006000001,23.99,1Z153EX70198521142,C21045681,0,4/7/2021,1,
CI21037292,4.004000001,20.59,1Z1597410178282710,C21035566,0,4/7/2021,1,
CI21037437,6.006000001,23.11,1Z1823460158667547,C21045656,0,4/7/2021,1,
CI21037307,2.002,18.35,1Z1856160173285149,C21035557,0,4/7/2021,1,
CI21037269,75.086,102.64,1Z1R7W540142540788,C21035557,0,4/7/2021,1,
CI21037456,85.096,164.22,1Z1R7W540142653175,C21045656,0,4/7/2021,1,
CI21037333,80.08,140.64,1Z1X17070177827651,C21035566,0,4/7/2021,1,
CI21037233,14.014,36.71,1Z2074170155172344,C21035566,0,4/7/2021,1,
CI21037408,105.094,195.68,1Z2153140171285673,C21045681,0,4/7/2021,1,
CI21037275,3.014000003,18.88,1Z2Y46V30194212846,C21035566,0,4/7/2021,1,
CI21037205,10.01,26.56,1Z3E036V0194789800,C21035524,0,4/7/2021,1,
CI21037170,2.002,24.84,1Z4051E30103345174,C21035513,0,4/7/2021,1,
CI21037367,44.044,63.46,1Z40AE280196722106,C21035636,0,4/7/2021,1,
CI21037365,19.008,37.08,1Z40AE280199599094,C21035636,0,4/7/2021,1,
CI21037417,16.016,37.66,1Z4142E00165394347,C21035636,0,4/7/2021,1,
CI21037401,145.156,217.89,1Z4912030141958093,C21035651,0,4/7/2021,1,
